symbol,IntraFormer_rmse_scaled,IntraFormer_mae_scaled,IntraFormer_rmse_real,IntraFormer_mae_real,IntraFormer_mape_pct,CNN-LSTM_rmse_scaled,CNN-LSTM_mae_scaled,CNN-LSTM_rmse_real,CNN-LSTM_mae_real,CNN-LSTM_mape_pct,LSTM_rmse_scaled,LSTM_mae_scaled,LSTM_rmse_real,LSTM_mae_real,LSTM_mape_pct,GRU_rmse_scaled,GRU_mae_scaled,GRU_rmse_real,GRU_mae_real,GRU_mape_pct,CLAM_rmse_scaled,CLAM_mae_scaled,CLAM_rmse_real,CLAM_mae_real,CLAM_mape_pct,Autoformer_rmse_scaled,Autoformer_mae_scaled,Autoformer_rmse_real,Autoformer_mae_real,Autoformer_mape_pct,FEDformer_rmse_scaled,FEDformer_mae_scaled,FEDformer_rmse_real,FEDformer_mae_real,FEDformer_mape_pct,Informer_rmse_scaled,Informer_mae_scaled,Informer_rmse_real,Informer_mae_real,Informer_mape_pct,iTransformer_rmse_scaled,iTransformer_mae_scaled,iTransformer_rmse_real,iTransformer_mae_real,iTransformer_mape_pct
AAPL,0.0357,0.0272,6.1458,4.6886,1.95,0.0763,0.0653,13.1534,11.2583,4.45,0.0967,0.0842,16.6737,14.5141,5.72,0.0436,0.0359,7.5204,6.1917,2.47,0.1736,0.1523,29.9119,26.2553,10.35,1.3237,1.3114,228.1338,226.0152,92.75,1.3401,1.3284,230.9654,228.9554,93.98,0.2961,0.2716,51.0365,46.8134,18.5,1.5657,1.5013,269.8424,258.7472,106.16
ABBV,0.0305,0.0234,4.0049,3.0695,1.45,0.1327,0.1244,17.4266,16.3393,7.6,0.0781,0.0684,10.2503,8.9774,4.16,0.0402,0.0314,5.2753,4.1251,1.92,0.3517,0.3384,46.1892,44.4352,20.74,1.3095,1.3023,171.9746,171.0202,81.1,1.3169,1.3084,172.9395,171.8306,81.37,0.3246,0.3113,42.627,40.8792,19.05,1.3273,1.3187,174.3052,173.1797,81.98
AMD,0.072,0.0518,11.5487,8.2992,4.34,0.0792,0.0592,12.688,9.4841,4.69,0.0997,0.0746,15.9877,11.9642,5.86,0.0675,0.0493,10.8166,7.9057,3.93,0.1907,0.1277,30.5598,20.4727,9.66,1.1938,1.1647,191.3591,186.696,98.34,1.1866,1.1578,190.2051,185.5902,97.68,0.2015,0.1476,32.3007,23.6543,10.74,1.1679,1.1409,187.1982,182.8814,96.51
AMGN,0.0419,0.032,8.0678,6.1632,2.01,0.0981,0.0837,18.9014,16.1398,5.13,0.076,0.0602,14.6448,11.6107,3.67,0.0467,0.0346,8.9965,6.6692,2.13,0.1299,0.1026,25.0372,19.7697,6.18,1.2133,1.2012,233.8205,231.4954,75.77,1.2026,1.1931,231.7647,229.9294,75.31,0.3077,0.2829,59.3049,54.5126,17.4,1.191,1.1834,229.5265,228.066,74.81
AMZN,0.0375,0.0267,6.8011,4.8438,2.17,0.0794,0.0724,14.3744,13.1086,5.72,0.0575,0.0492,10.4117,8.9195,3.9,0.0341,0.0274,6.1745,4.9611,2.18,0.1773,0.1697,32.1178,30.7352,13.46,1.1904,1.1884,215.6264,215.2581,95.21,1.1643,1.1628,210.9069,210.6217,93.13,0.18,0.1737,32.5998,31.4678,13.77,1.1671,1.1635,211.4152,210.7545,93.17
AVGO,0.2561,0.1945,15.6915,11.9211,3.67,2.3996,2.3277,147.037,142.635,43.56,2.4735,2.4145,151.5655,147.9508,45.36,1.5649,1.508,95.8907,92.4077,28.14,3.2819,3.2302,201.1046,197.9327,61.03,5.2001,5.1595,318.6421,316.1579,98.17,5.2623,5.2213,322.4546,319.9443,99.35,4.0235,3.9619,246.5464,242.7712,74.86,5.2357,5.1955,320.8246,318.3646,98.87
AXP,0.0481,0.037,7.6645,5.9025,1.77,0.2144,0.2067,34.1714,32.9512,9.7,0.2039,0.1919,32.5069,30.5799,8.94,0.0955,0.085,15.2253,13.55,3.95,0.2696,0.2528,42.9704,40.2951,11.82,1.7438,1.7354,277.9538,276.6072,82.29,1.7632,1.7556,281.0461,279.8277,83.26,0.6701,0.6527,106.8022,104.0405,30.59,1.6497,1.6182,262.9525,257.9331,76.59
BAC,0.0258,0.0208,1.0521,0.8462,1.7,0.0323,0.027,1.3139,1.0998,2.16,0.039,0.0334,1.5884,1.361,2.67,0.0234,0.0189,0.9538,0.7712,1.52,0.1143,0.1084,4.6537,4.4125,8.7,1.0205,1.0158,41.5386,41.3478,81.97,0.98,0.9767,39.8921,39.7554,78.88,0.0805,0.0693,3.2784,2.8218,5.4,0.9457,0.8986,38.4931,36.5751,72.33
BLK,0.0274,0.0223,21.3937,17.4031,1.61,0.0393,0.0333,30.7291,25.9827,2.38,0.0545,0.0475,42.5345,37.1324,3.39,0.03,0.0245,23.4398,19.1167,1.75,0.171,0.1619,133.5837,126.4621,11.56,1.1164,1.1136,872.0404,869.8364,80.21,1.1382,1.1356,889.0432,887.0007,81.76,0.1816,0.1742,141.8543,136.0556,12.41,1.0846,1.0727,847.1873,837.9274,77.18
BMY,0.0205,0.0164,1.0907,0.8731,1.83,0.023,0.0176,1.2254,0.9364,1.93,0.0279,0.0219,1.4875,1.1653,2.4,0.0212,0.0159,1.1285,0.8456,1.75,0.0223,0.0169,1.1886,0.9032,1.86,0.4347,0.4184,23.1737,22.3044,45.97,0.3874,0.3742,20.6509,19.9477,41.15,0.0212,0.017,1.13,0.9046,1.89,0.3879,0.3813,20.6799,20.3285,41.91
C,0.0474,0.0367,2.3899,1.8523,1.89,0.0617,0.0498,3.1097,2.5109,2.48,0.0741,0.0621,3.7353,3.1323,3.13,0.0678,0.0557,3.4188,2.8103,2.74,0.3739,0.3183,18.8539,16.0477,15.8,1.2782,1.2529,64.4455,63.1682,63.49,1.2765,1.2538,64.3603,63.2144,63.58,0.5051,0.4656,25.468,23.4738,22.87,1.2811,1.2611,64.5899,63.5845,63.93
DHR,0.0187,0.0146,5.1323,4.0077,1.92,0.022,0.0174,6.034,4.7687,2.29,0.0244,0.0193,6.6968,5.2888,2.54,0.0187,0.0142,5.1496,3.9091,1.87,0.0394,0.0304,10.8118,8.35,4.1,0.6985,0.6959,191.8499,191.139,90.73,0.6926,0.6904,190.2191,189.6381,90.02,0.0212,0.0174,5.8254,4.7869,2.32,0.6489,0.6416,178.2198,176.2268,83.75
GOOGL,0.052,0.0398,7.1643,5.491,2.18,0.3219,0.2692,44.3872,37.1205,13.27,0.29,0.2437,39.9903,33.5968,12.07,0.1077,0.0876,14.8497,12.0817,4.38,0.7184,0.6347,99.0563,87.5163,32.21,1.7429,1.6938,240.3193,233.547,92.62,1.7368,1.6874,239.472,232.6692,92.24,0.7305,0.624,100.729,86.0428,31.01,1.5767,1.4702,217.4014,202.7183,79.95
GS,0.059,0.0455,18.4913,14.2705,1.81,0.273,0.253,85.577,79.3147,9.82,0.3604,0.3423,112.9849,107.307,13.39,0.1701,0.1519,53.33,47.6097,5.85,0.7889,0.7489,247.2963,234.761,29.21,2.1366,2.1117,669.8128,661.9864,84.3,2.1428,2.1208,671.7416,664.8431,84.75,1.0326,0.994,323.702,311.6217,39.03,2.1283,2.1054,667.2057,660.0208,84.1
INTC,0.0382,0.0271,1.9228,1.3638,3.98,0.0511,0.0365,2.5769,1.8414,5.27,0.055,0.0404,2.7697,2.0331,6.02,0.0373,0.0256,1.8793,1.2878,3.76,0.0834,0.0604,4.2016,3.044,8.91,0.3484,0.2842,17.5515,14.3194,39.11,0.3614,0.3109,18.2063,15.6617,44.12,0.0394,0.0297,1.9844,1.4988,4.53,0.3612,0.3126,18.1999,15.7472,45.72
JNJ,0.0273,0.0219,3.559,2.8502,1.49,0.043,0.0317,5.5964,4.1338,2.09,0.0465,0.0354,6.0626,4.6117,2.35,0.0297,0.0225,3.8756,2.9339,1.51,0.1175,0.0986,15.3018,12.8512,6.52,0.9821,0.9674,127.9396,126.0244,67.45,1.0012,0.9839,130.4303,128.1741,68.37,0.2168,0.1602,28.2424,20.8702,10.16,0.9364,0.9138,121.9958,119.0435,63.53
JPM,0.0455,0.0366,6.1336,4.9346,1.66,0.2543,0.2492,34.2484,33.5524,11.14,0.0946,0.0824,12.7353,11.0955,3.66,0.1158,0.1093,15.5938,14.7234,4.88,0.3421,0.335,46.0619,45.1131,15.08,1.9759,1.9719,266.0676,265.5361,88.75,1.96,1.9566,263.931,263.4708,88.07,0.886,0.8789,119.3129,118.354,39.42,1.8574,1.8321,250.1141,246.7067,82.37
